,Composition,As-cast/other,HardGPa
785,Mn22.2Al11.1Cr22.2Fe33.3Ni11.1,1.0,3.88
786,Mn23.3Al7Cr23.3Fe34.9Ni11.6,1.0,2.91
788,Mn31.7Al5Cu31.7Ni31.7,1.0,1.63
789,Mn3Al(CuNi)3,1.0,2.36
790,Mn3CrFe5Co,1.0,3.315
791,Mn3CrFe5Ni,1.0,1.33
792,Mn4Al5Cr4Fe4(CoNi)4,1.0,5.29
793,Mn4CrFe4Co,1.0,1.29
794,Mn4Fe4CoNi,1.0,1.33
795,Mn5.7Al18.9Cr18.9Fe18.9Co18.9Ni18.9,1.0,4.91
796,Mn6.3Al10.4Cr20.8Fe20.8Co20.8Ni20.8,1.0,1.73
797,Mn6.5Al6.5Cr21.7Fe21.7Co21.7Ni21.7,1.0,1.44
798,MnAlCrFeCoNi,1.0,6.71
800,MnCrFeCo,1.0,3.04
803,MnFeCoCuNi,1.0,2.04
804,MnFeCoNi,1.0,1.35
806,Nb0.1Al1Cr1Fe1Co1Ni1,1.0,5.58
807,Nb0.25Al1Cr1Fe1Co1Ni1,1.0,6.55
808,Nb0.5Al1Cr1Fe1Co1Ni1,1.0,7.33
809,Nb24Al33Cr3Co33W7,1.0,10.63
810,NbVCrFeMo,1.0,8.1
811,Ta12Ti9Nb30Co2Ni47,1.0,7.99
812,Ta16.66Nb16.66V16.66Cr16.66Mo16.66W16.66,1.0,6.91
814,Ta1Ti0.25Nb1Mo1W1,1.0,4.69
816,Ta1Ti0.5Nb1Mo1W1,1.0,4.72
817,Ta1Ti0.75Nb1Mo1W1,1.0,4.86
818,Ta4Ti39Nb31(Co11W2)2,1.0,2.72
819,Ta6Ti9Cr11(CoNi)12,1.0,9.91
824,TaNbVW,1.0,4.83
826,TaTi32Nb9Cr19Co39,1.0,8.39
828,TaTiNb,1.0,2.41
829,TaTiNbAl,1.0,4.49
830,TaTiNbCr,1.0,4.85
834,TaTiNbVMo,1.0,4.34
835,TaTiNbVW,1.0,4.38
836,TaTiNbW,1.0,4.39
838,Ti0.25Al1Cr1Fe1Ni1Mo0.5,1.0,6.98
839,Ti0.2Al0.5Cr1Fe1Co1Cu1Ni1,1.0,2.67
840,Ti0.2Al1.8Cr1Fe1Co1Ni1,1.0,5.94
841,Ti0.2Cr1Fe1Ni1,1.0,3.55
845,Ti0.3Cr1Fe1Ni1,1.0,5.0
847,Ti0.4Al0.5Cr1Fe1Co1Cu1Ni1,1.0,3.15
848,Ti0.4Al1Cr1Fe1Ni1Mo0.5,1.0,7.18
849,Ti0.4Cr1Fe1Ni1,1.0,5.89
851,Ti0.5Al0.9Cr1Fe1Co1Ni1,1.0,6.11
852,Ti0.5Al1.5Cr1Fe1Co1Ni1,1.0,6.29
853,Ti0.5Al1Cr1Fe1Co1Ni1,1.0,1.75
854,Ti0.5Al1Cr1Fe1Ni1Mo0.5,1.0,7.37
856,Ti0.5Cr1Fe1Ni1,1.0,6.96
857,Ti0.6Al0.5Cr1Fe1Co1Cu1Ni1,1.0,4.49
858,Ti0.6Al1Cr1Fe1Ni1Mo0.5,1.0,7.42
859,Ti0.6Cr1Fe1Ni1,1.0,7.04
860,Ti0.75Al1Cr1Fe1Ni1Mo0.5,1.0,7.51
861,Ti0.8Al0.5Cr1Fe1Co1Cu1Ni1,1.0,5.79
862,Ti0.8Al1.2Cr1Fe1Co1Ni1,1.0,6.27
864,Ti1.125Al1.125Fe0.75Cu1Ni1,1.0,5.06
865,Ti1.2Al0.5Cr1Fe1Co1Cu1Ni1,1.0,6.34
866,Ti1.2Al0.8Cr1Fe1Co1Ni1,1.0,8.4
867,Ti1.4Al0.5Cr1Fe1Co1Cu1Ni1,1.0,6.51
868,Ti1.6Al0.5Cr1Fe1Co1Cu1Ni1,1.0,6.44
869,Ti1.8Al0.5Cr1Fe1Co1Cu1Ni1,1.0,6.54
870,Ti11.1V22.2Cr22.2Fe22.2Mo22.2,1.0,8.02
871,Ti12.6Al20.2Cr16.8Fe16.8Co16.8Ni16.8,1.0,6.89
872,Ti12.7Al7.9Cr15.9Fe15.9Co15.9Cu15.9Ni15.9,1.0,5.79
873,Ti13.3Al20V13.3Cr13.3Fe13.3Cu13.3Ni13.3,1.0,8.78
874,Ti13.8Al17.2Cr17.2Fe17.2Co17.2Ni17.2,1.0,5.15
875,Ti14.3Al14.3V14.3Cr14.3Fe14.3Cu14.3Ni14.3,1.0,7.36
876,Ti14.3Al28.6Cr14.3Fe14.3Co14.3Ni14.3,1.0,7.15
877,Ti15.4Al7.7Cr15.4Fe15.4Co15.4Cu15.4Ni15.4,1.0,6.24
878,Ti15.4Al7.7V15.4Cr15.4Fe15.4Cu15.4Ni15.4,1.0,5.82
879,Ti16.1Al19.4Cr16.1Fe16.1Co16.1Ni16.1,1.0,6.63
880,Ti16.1Al3.2Cr16.1Fe16.1Co24.2Ni24.2,1.0,6.59
881,Ti16.7Al16.7Cr16.7Fe16.7Co16.7Cu16.7,1.0,5.71
882,Ti16.7Al16.7Cr16.7Fe16.7Co16.7Ni16.7,1.0,4.27
883,Ti16.7Al16.7Fe16.7Co16.7Cu16.7Ni16.7,1.0,6.14
884,Ti16.7Cr16.7Fe16.7Co25Ni25,1.0,5.85
885,Ti16.7V16.7Cr16.7Fe16.7Cu16.7Ni16.7,1.0,6.44
886,Ti17.4Al17.4Cr17.4Fe17.4Co17.4Cu13,1.0,6.01
887,Ti17.9Al7.5Cr14.9Fe14.9Co14.9Cu14.9Ni14.9,1.0,6.34
888,Ti18.2Al18.2Cr18.2Fe18.2Co18.2Cu9.1,1.0,7.88
889,Ti18.2V18.2Fe18.2Co18.2Cu9.1Ni18.2,1.0,6.77
891,Ti1Al0.5Cr1Fe1Co1Cu1Ni1,1.0,6.24
894,Ti1Nb1Al0.25V1Mo1,1.0,4.51
895,Ti1Nb1Al0.5V1Mo1,1.0,4.78
896,Ti1Nb1Al0.75V1Mo1,1.0,5.07
897,Ti20.3Al7.2Cr14.5Fe14.5Co14.5Cu14.5Ni14.5,1.0,6.51
899,Ti21.1Cr21.1Fe21.1Cu15.8Ni21.1,1.0,6.48
900,Ti21.7Al13Cr21.7Cu21.7Ni21.7,1.0,4.43
901,Ti22.2Cr22.2Fe22.2Cu11.1Ni22.2,1.0,7.13
903,Ti22.5Al22.5Fe15Cu20Ni20,1.0,5.06
904,Ti22.5Al7Cr14.1Fe14.1Co14.1Cu14.1Ni14.1,1.0,6.44
905,Ti22.7Al9.1Cr22.7Cu22.7Ni22.7,1.0,3.84
906,Ti23.1Al15.4Cr15.4Fe15.4Cu15.4Ni15.4,1.0,5.84
907,Ti23.1V15.4Fe15.4Co15.4Cu15.4Ni15.4,1.0,5.78
908,Ti23.5Cr23.5Fe23.5Cu5.9Ni23.5,1.0,8.09
909,Ti23.8Al4.8Cr23.8Cu23.8Ni23.8,1.0,3.69
910,Ti24.4Cr24.4Fe24.4Cu2.4Ni24.4,1.0,8.18
911,Ti24.7Al6.8Cr13.7Fe13.7Co13.7Cu13.7Ni13.7,1.0,6.54
912,Ti25V16.7Fe16.7Co16.7Cu8.3Ni16.7,1.0,6.51
913,Ti26.7Al6.7Cr13.3Fe13.3Co13.3Cu13.3Ni13.3,1.0,6.83
914,Ti27.3V18.2Cr18.2Fe18.2Mo18.2,1.0,7.21
915,Ti2Al0.5Cr1Fe1Co1Cu1Ni1,1.0,6.83
917,Ti3.5Al8.8Cr17.5Fe17.5Co17.5Cu17.5Ni17.5,1.0,2.67
918,Ti3.8Al19.2Cr19.2Fe19.2Co19.2Ni19.2,1.0,4.58
919,Ti30.8V15.4Fe15.4Co15.4Cu7.7Ni15.4,1.0,6.47
920,Ti33.3V16.7Cr16.7Fe16.7Mo16.7,1.0,6.72
924,Ti4.6Al22Cr18.3Fe18.3Co18.3Ni18.3,1.0,6.54
925,Ti44Nb21Cr21(Co6Ni)2,1.0,4.14
926,Ti5.12Nb27.16Cr14.61Co4.133Mo48.98,1.0,8.13
927,Ti6.8Al8.5Cr16.9Fe16.9Co16.9Cu16.9Ni16.9,1.0,3.15
929,Ti8.8Al21.1Cr17.5Fe17.5Co17.5Ni17.5,1.0,7.03
930,Ti8.8Al3.5Cr17.5Fe17.5Co26.3Ni26.3,1.0,4.72
931,Ti9.1Al18.2Cr18.2Fe18.2Co18.2Ni18.2,1.0,4.97
932,Ti9.1Al18.2Cr18.2Fe18.2Cu18.2Ni18.2,1.0,4.51
933,Ti9.1Cr18.2Fe18.2Co27.3Ni27.3,1.0,4.39
934,Ti9.8Al8.2Cr16.4Fe16.4Co16.4Cu16.4Ni16.4,1.0,4.49
935,TiAl2CrFeCoNi,1.0,6.31
936,TiAl4Cr5Fe5(CoNi)5,1.0,4.64
938,TiAlCr2Fe2(CoNi)2,1.0,5.1
939,TiAlCrCuNi,1.0,5.03
940,TiAlCrFeCoNi,1.0,6.89
941,TiAlCrFeNi,1.0,6.74
943,TiAlCuNi,1.0,5.27
944,TiAlFeCoCuNi,1.0,6.14
946,TiAlFeCuNi,1.0,5.06
948,TiCrFeCoNi,1.0,8.7
949,TiCrFeCuNi,1.0,6.44
950,TiNbAlMo,1.0,4.99
952,TiNbAlVMo,1.0,5.27
953,TiNbCrFeMo,1.0,7.77
954,TiNbCrMo,1.0,5.29
956,TiNbVFeMo,1.0,6.86
957,TiNbVMo,1.0,4.32
958,TiV2Fe2Co2CuNi2,1.0,5.35
959,TiVCrFeMo,1.0,8.4
960,V11.1Cr22.2Fe22.2Co22.2Ni22.2,1.0,4.61
961,V1Fe1Co1Ni1.2Mo1,1.0,5.9
962,V1Fe1Co1Ni1.4Mo1,1.0,5.28
963,V1Fe1Co1Ni1.6Mo1,1.0,5.1
964,V1Fe1Co1Ni1.8Mo1,1.0,5.0
965,V1Fe1Co1Ni1Mo0.2,1.0,2.62
966,V1Fe1Co1Ni1Mo0.4,1.0,3.94
967,V1Fe1Co1Ni1Mo0.6,1.0,5.46
968,V1Fe1Co1Ni1Mo0.8,1.0,5.94
969,V22.2Fe22.2Co22.2Cu11.1Ni22.2,1.0,2.1
970,V27.3Cr18.2Fe18.2Co18.2Ni18.2,1.0,8.78
971,V33.3Cr16.7Fe16.7Co16.7Ni16.7,1.0,9.02
972,VCrFeCoNi,1.0,4.94
973,VCrFeMo,1.0,7.06
974,VFeCoNi,1.0,2.33
975,VFeCoNi2Mo,1.0,3.75
976,VFeCoNiMo,1.0,6.13
978,Zr0.5Ta1Ti1Nb1.5,1.0,2.88
981,Zr1.5Ta1Ti1Nb0.5,1.0,4.8
992,ZrAlFeCoCuNi,1.0,4.63
993,ZrTaTi,1.0,4.76
994,ZrTaTiNb,1.0,3.51
995,ZrTiAlVCrFeCoNi,1.0,7.65
996,ZrTiAlVFeCoNi,1.0,7.75
997,ZrTiAlVFeNi,1.0,7.85
998,ZrTiNb,1.0,3.27
1004,ZrTiVCrFeCoCuNi,1.0,6.67
1005,ZrTiVCrFeCoNiMo,1.0,8.34
1006,ZrTiVFeCoCuNi,1.0,6.18
1007,ZrTiVFeCoNiMo,1.0,7.75
1008,ZrTiVFeCuNi,1.0,5.79
1009,ZrTiVFeNiMo,1.0,7.26
